trade_date,symbol,name,earnings_yield_pct,pe_zscore_5y,pb_zscore_5y,pe_percentile_5y,pb_percentile_5y,dividend_yield_percentile_5y,equity_risk_premium_pct,equity_bond_yield_ratio,dividend_bond_spread_pct,valuation_temperature
2026-06-01,000300,沪深300,4.4626,2.3348,-1.0437,99.12,17.36,60.48,2.7617,2.6237,0.536,59.02
2026-06-01,000688,科创50,0.6904,1.48,-0.1716,85.68,49.44,38.96,-1.0105,0.4059,-1.1482,64.24
2026-06-01,000852,中证1000,1.8439,2.0553,0.1937,96.0,51.84,52.96,0.143,1.0841,-0.4856,62.44
2026-06-01,000905,中证500,2.9641,0.7824,1.6708,92.32,91.76,10.0,1.2632,1.7427,-0.1427,86.7
2026-06-01,000922,中证红利,8.388,1.6284,-0.2705,95.28,50.88,3.6,6.6871,4.9315,2.4927,82.96
2026-06-01,000985,中证全指,0.8286,1.0203,1.0573,90.72,84.4,8.0,-0.8723,0.4872,-0.6851,79.34
2026-06-01,399001,深证成指,2.0341,0.3794,0.4991,95.68,67.44,34.56,0.3332,1.1959,-0.2958,75.94
2026-06-01,399006,创业板指,1.4259,3.1376,0.4744,98.4,68.56,53.44,-0.275,0.8383,-0.8023,73.82
2026-06-02,000001,上证指数,0.825,3.7081,0.6055,98.64,72.0,4.08,-0.8786,0.4843,-0.4837,90.8
2026-06-02,000300,沪深300,4.4341,2.4004,-1.0676,99.44,16.48,61.2,2.7305,2.6028,0.5364,59.0
2026-06-02,000688,科创50,0.6811,1.5233,-0.2022,86.24,47.04,40.16,-1.0225,0.3998,-1.1475,63.78
2026-06-02,000852,中证1000,1.8499,2.0275,0.0988,95.84,46.24,54.88,0.1463,1.0859,-0.4766,60.4
2026-06-02,000905,中证500,2.9683,0.7766,1.5988,91.92,90.48,10.56,1.2647,1.7424,-0.1386,86.14
2026-06-02,000922,中证红利,8.3829,1.6316,-0.3002,95.36,49.12,4.08,6.6793,4.9207,2.5058,82.46
2026-06-02,000985,中证全指,0.826,1.0277,0.9348,90.72,81.92,9.28,-0.8776,0.4849,-0.6779,78.6
2026-06-02,399001,深证成指,2.0205,0.3888,0.4435,95.92,64.64,35.2,0.3169,1.186,-0.2922,75.16
2026-06-02,399006,创业板指,1.4212,3.1532,0.4323,98.4,67.84,55.76,-0.2824,0.8342,-0.7988,73.16
